MD step 0: esapsed time: 15.26, average time: 15.26
MD step 10: esapsed time: 131.77, average time: 11.98
MD step 20: esapsed time: 241.88, average time: 11.52
MD step 30: esapsed time: 358.62, average time: 11.57
MD step 40: esapsed time: 468.23, average time: 11.42
MD step 50: esapsed time: 598.45, average time: 11.73
MD step 60: esapsed time: 723.84, average time: 11.87
MD step 70: esapsed time: 861.58, average time: 12.13
MD step 80: esapsed time: 980.74, average time: 12.11
MD step 90: esapsed time: 1095.45, average time: 12.04
MD step 100: esapsed time: 1213.98, average time: 12.02
MD step 110: esapsed time: 1336.91, average time: 12.04
MD step 120: esapsed time: 1453.28, average time: 12.01
MD step 130: esapsed time: 1582.91, average time: 12.08
MD step 140: esapsed time: 1705.94, average time: 12.10
MD step 150: esapsed time: 1817.80, average time: 12.04
MD step 160: esapsed time: 1953.13, average time: 12.13
MD step 170: esapsed time: 2091.69, average time: 12.23
MD step 180: esapsed time: 2206.82, average time: 12.19
MD step 190: esapsed time: 2344.19, average time: 12.27
MD step 200: esapsed time: 2470.60, average time: 12.29
MD step 210: esapsed time: 2596.72, average time: 12.31
MD step 220: esapsed time: 2719.95, average time: 12.31
MD step 230: esapsed time: 2837.32, average time: 12.28
MD step 240: esapsed time: 2952.04, average time: 12.25
MD step 250: esapsed time: 3062.93, average time: 12.20
MD step 260: esapsed time: 3171.51, average time: 12.15
MD step 270: esapsed time: 3298.11, average time: 12.17
MD step 280: esapsed time: 3422.31, average time: 12.18
MD step 290: esapsed time: 3549.79, average time: 12.20
MD step 300: esapsed time: 3666.40, average time: 12.18
MD step 310: esapsed time: 3799.09, average time: 12.22
MD step 320: esapsed time: 3923.49, average time: 12.22
MD step 330: esapsed time: 4066.81, average time: 12.29
MD step 340: esapsed time: 4205.62, average time: 12.33
MD step 350: esapsed time: 4335.73, average time: 12.35
MD step 360: esapsed time: 4457.43, average time: 12.35
MD step 370: esapsed time: 4578.34, average time: 12.34
MD step 380: esapsed time: 4705.66, average time: 12.35
MD step 390: esapsed time: 4821.99, average time: 12.33
MD step 400: esapsed time: 4945.14, average time: 12.33
MD step 410: esapsed time: 5069.70, average time: 12.34
MD step 420: esapsed time: 5181.76, average time: 12.31
MD step 430: esapsed time: 5313.88, average time: 12.33
MD step 440: esapsed time: 5440.48, average time: 12.34
MD step 450: esapsed time: 5572.03, average time: 12.35
MD step 460: esapsed time: 5705.65, average time: 12.38
MD step 470: esapsed time: 5834.23, average time: 12.39
MD step 480: esapsed time: 5949.16, average time: 12.37
MD step 490: esapsed time: 6077.31, average time: 12.38
MD step 500: esapsed time: 6196.46, average time: 12.37
MD step 510: esapsed time: 6312.24, average time: 12.35
MD step 520: esapsed time: 6431.59, average time: 12.34
MD step 530: esapsed time: 6549.63, average time: 12.33
MD step 540: esapsed time: 6669.21, average time: 12.33
