MD step 0: esapsed time: 7.82, average time: 7.82
MD step 10: esapsed time: 56.79, average time: 5.16
MD step 20: esapsed time: 107.41, average time: 5.11
MD step 30: esapsed time: 157.91, average time: 5.09
MD step 40: esapsed time: 221.46, average time: 5.40
MD step 50: esapsed time: 273.71, average time: 5.37
MD step 60: esapsed time: 324.89, average time: 5.33
MD step 70: esapsed time: 377.39, average time: 5.32
MD step 80: esapsed time: 432.55, average time: 5.34
MD step 90: esapsed time: 488.38, average time: 5.37
MD step 100: esapsed time: 542.34, average time: 5.37
MD step 110: esapsed time: 596.91, average time: 5.38
MD step 120: esapsed time: 652.01, average time: 5.39
MD step 130: esapsed time: 704.37, average time: 5.38
MD step 140: esapsed time: 757.32, average time: 5.37
MD step 150: esapsed time: 808.74, average time: 5.36
MD step 160: esapsed time: 859.33, average time: 5.34
MD step 170: esapsed time: 910.14, average time: 5.32
MD step 180: esapsed time: 960.42, average time: 5.31
MD step 190: esapsed time: 1011.27, average time: 5.29
MD step 200: esapsed time: 1065.67, average time: 5.30
MD step 210: esapsed time: 1119.12, average time: 5.30
MD step 220: esapsed time: 1170.81, average time: 5.30
MD step 230: esapsed time: 1220.97, average time: 5.29
MD step 240: esapsed time: 1274.14, average time: 5.29
MD step 250: esapsed time: 1324.20, average time: 5.28
MD step 260: esapsed time: 1377.18, average time: 5.28
MD step 270: esapsed time: 1432.23, average time: 5.28
MD step 280: esapsed time: 1482.59, average time: 5.28
MD step 290: esapsed time: 1533.87, average time: 5.27
MD step 300: esapsed time: 1590.75, average time: 5.28
MD step 310: esapsed time: 1654.10, average time: 5.32
MD step 320: esapsed time: 1710.50, average time: 5.33
MD step 330: esapsed time: 1760.69, average time: 5.32
MD step 340: esapsed time: 1810.85, average time: 5.31
MD step 350: esapsed time: 1863.74, average time: 5.31
MD step 360: esapsed time: 1912.29, average time: 5.30
MD step 370: esapsed time: 1962.26, average time: 5.29
MD step 380: esapsed time: 2021.85, average time: 5.31
MD step 390: esapsed time: 2074.13, average time: 5.30
MD step 400: esapsed time: 2124.24, average time: 5.30
MD step 410: esapsed time: 2181.86, average time: 5.31
MD step 420: esapsed time: 2231.62, average time: 5.30
MD step 430: esapsed time: 2281.89, average time: 5.29
MD step 440: esapsed time: 2334.08, average time: 5.29
MD step 450: esapsed time: 2382.49, average time: 5.28
MD step 460: esapsed time: 2430.98, average time: 5.27
MD step 470: esapsed time: 2483.07, average time: 5.27
MD step 480: esapsed time: 2545.32, average time: 5.29
MD step 490: esapsed time: 2602.93, average time: 5.30
MD step 500: esapsed time: 2655.91, average time: 5.30
MD step 510: esapsed time: 2710.06, average time: 5.30
MD step 520: esapsed time: 2767.55, average time: 5.31
MD step 530: esapsed time: 2816.02, average time: 5.30
MD step 540: esapsed time: 2867.87, average time: 5.30
MD step 550: esapsed time: 2919.33, average time: 5.30
MD step 560: esapsed time: 2971.47, average time: 5.30
MD step 570: esapsed time: 3021.87, average time: 5.29
MD step 580: esapsed time: 3074.19, average time: 5.29
MD step 590: esapsed time: 3123.86, average time: 5.29
MD step 600: esapsed time: 3173.85, average time: 5.28
MD step 610: esapsed time: 3228.15, average time: 5.28
MD step 620: esapsed time: 3285.70, average time: 5.29
MD step 630: esapsed time: 3342.58, average time: 5.30
MD step 640: esapsed time: 3392.72, average time: 5.29
MD step 650: esapsed time: 3447.41, average time: 5.30
MD step 660: esapsed time: 3502.08, average time: 5.30
MD step 670: esapsed time: 3553.86, average time: 5.30
MD step 680: esapsed time: 3606.14, average time: 5.30
MD step 690: esapsed time: 3656.19, average time: 5.29
MD step 700: esapsed time: 3708.26, average time: 5.29
MD step 710: esapsed time: 3760.20, average time: 5.29
MD step 720: esapsed time: 3809.95, average time: 5.28
MD step 730: esapsed time: 3866.04, average time: 5.29
MD step 740: esapsed time: 3922.55, average time: 5.29
MD step 750: esapsed time: 3971.85, average time: 5.29
MD step 760: esapsed time: 4026.08, average time: 5.29
MD step 770: esapsed time: 4077.89, average time: 5.29
MD step 780: esapsed time: 4128.10, average time: 5.29
MD step 790: esapsed time: 4179.87, average time: 5.28
MD step 800: esapsed time: 4232.84, average time: 5.28
MD step 810: esapsed time: 4285.49, average time: 5.28
MD step 820: esapsed time: 4339.38, average time: 5.29
MD step 830: esapsed time: 4389.54, average time: 5.28
MD step 840: esapsed time: 4445.63, average time: 5.29
MD step 850: esapsed time: 4496.58, average time: 5.28
MD step 860: esapsed time: 4553.74, average time: 5.29
MD step 870: esapsed time: 4606.83, average time: 5.29
MD step 880: esapsed time: 4657.49, average time: 5.29
MD step 890: esapsed time: 4712.95, average time: 5.29
MD step 900: esapsed time: 4776.34, average time: 5.30
MD step 910: esapsed time: 4838.14, average time: 5.31
MD step 920: esapsed time: 4887.56, average time: 5.31
MD step 930: esapsed time: 4938.38, average time: 5.30
MD step 940: esapsed time: 4993.73, average time: 5.31
MD step 950: esapsed time: 5042.35, average time: 5.30
MD step 960: esapsed time: 5094.00, average time: 5.30
MD step 970: esapsed time: 5143.03, average time: 5.30
MD step 980: esapsed time: 5192.14, average time: 5.29
MD step 990: esapsed time: 5241.06, average time: 5.29
MD step 1000: esapsed time: 5293.47, average time: 5.29
MD step 1010: esapsed time: 5343.98, average time: 5.29
MD step 1020: esapsed time: 5392.97, average time: 5.28
MD step 1030: esapsed time: 5441.44, average time: 5.28
MD step 1040: esapsed time: 5491.30, average time: 5.28
MD step 1050: esapsed time: 5539.89, average time: 5.27
MD step 1060: esapsed time: 5588.27, average time: 5.27
MD step 1070: esapsed time: 5636.03, average time: 5.26
MD step 1080: esapsed time: 5683.10, average time: 5.26
MD step 1090: esapsed time: 5730.94, average time: 5.25
MD step 1100: esapsed time: 5778.71, average time: 5.25
MD step 1110: esapsed time: 5829.40, average time: 5.25
MD step 1120: esapsed time: 5885.00, average time: 5.25
MD step 1130: esapsed time: 5937.66, average time: 5.25
MD step 1140: esapsed time: 5987.92, average time: 5.25
MD step 1150: esapsed time: 6038.48, average time: 5.25
MD step 1160: esapsed time: 6092.19, average time: 5.25
MD step 1170: esapsed time: 6142.19, average time: 5.25
MD step 1180: esapsed time: 6194.32, average time: 5.24
MD step 1190: esapsed time: 6244.43, average time: 5.24
MD step 1200: esapsed time: 6295.06, average time: 5.24
MD step 1210: esapsed time: 6346.12, average time: 5.24
MD step 1220: esapsed time: 6400.30, average time: 5.24
MD step 1230: esapsed time: 6452.28, average time: 5.24
MD step 1240: esapsed time: 6505.20, average time: 5.24
MD step 1250: esapsed time: 6558.66, average time: 5.24
MD step 1260: esapsed time: 6610.38, average time: 5.24
MD step 1270: esapsed time: 6660.95, average time: 5.24
MD step 1280: esapsed time: 6713.61, average time: 5.24
MD step 1290: esapsed time: 6764.21, average time: 5.24
MD step 1300: esapsed time: 6818.21, average time: 5.24
MD step 1310: esapsed time: 6867.94, average time: 5.24
MD step 1320: esapsed time: 6918.23, average time: 5.24
MD step 1330: esapsed time: 6968.00, average time: 5.24
MD step 1340: esapsed time: 7027.43, average time: 5.24
MD step 1350: esapsed time: 7087.90, average time: 5.25
MD step 1360: esapsed time: 7140.20, average time: 5.25
MD step 1370: esapsed time: 7195.71, average time: 5.25
MD step 1380: esapsed time: 7244.00, average time: 5.25
MD step 1390: esapsed time: 7292.77, average time: 5.24
MD step 1400: esapsed time: 7343.10, average time: 5.24
